Artist	Cover Artist	Full Title	Image Files	Plot	Publisher	Series	Writer	Issue No.	Barcode
Barry Kitson		The War of Four Cities, Part Two: ...The Sound of War		Written by JONATHAN HICKMAN Penciled by BARRY KITSON Cover by MARK BAGLEY I AM CAPTAIN AMERICA Variant by SKOTTIE YOUNG The War of Four Cities: Part Two  As the War of Four Cities heats up, the Universal Inhumans enter the fray! What role will the FF play in things to come? Prepare for epic battles, live lost and saved, and the awaited return of a beloved Marvel hero! 32 PGS./Rated A	Marvel Comics	FF, Vol. 1	Jonathan Hickman	5	75960607495200511
Daniel Acuña	John Cassaday			The Apocalypse Twins part 1 - New regular artist Daniel Acuña joins just in time for Thor vs Apocalypse in the 11th Century! Wait until you see these two titans first meeting and first battle! - The Avengers' ancestors are being hunted and only a young Thor can save his future companions! - And with Rama Tut and Kang pulling the strings, you know nothing good can come from any of it. - The future begins in the past! This is it! The future of the all-new, all-different Uncanny Avengers begins here and the effects will reverberate across the Marvel Universe for years to come!	Marvel Comics	Uncanny Avengers	Rick Remender	6	75960607826400611
Sara Pichelli	Sara Pichelli			- The blockbuster new series hits hard as Marvel's newest superstar Angela comes right for the Guardians! - Round one is Gamora versus Angelawith an entire universe at stake! - All that and comics legend Neil Gaiman joins the award-winning Ultimate Spider-Man team of Bendis and Pichelli in this one-of-a-kind comic book event!	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	6	75960607830100611
Adam Kubert	Dustin Weaver	Zen and the Art of Cosmology		'GODDESS' - The Secret Origin of the Universe. - Watch as for the first time in history, The UNIVERSE becomes sentient. - Watch as Captain Universe deciphers the code that was hidden in the first five issues.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	6	75960607902500611
Brandon Peterson	Brandon Peterson	Age of Ultron		- The heroes take the fight to Ultronwith a near-broken Captain America taking the lead! - Meanwhile, Wolverine takes it upon himself to make one of the most controversial decisions in the history of Marvel comics and you'll never believe who goes along with him!	Marvel Comics	Age of Ultron	Brian Michael Bendis	6	75960607494500611
Dexter Soy	Marco Checchetto	Age of Ultron, Doomsday Scenario			Marvel Comics	Superior Spider-Man	Christos N. Gage	6	75960607890500111
	Olivier Coipel	AvX, Round 6		ACT TWO BEGINS! - Jonathan Hickman joins superstar artist Olivier Coipel (SIEGE) to launch Act Two of the biggest Marvel event of the year! - What is Pax Utopia? - The Phoenix has come to Earth, and everything changes - And the Scarlet Witch enters the fray!	Marvel Comics	Avengers vs. X-Men		6	75960607748900651
Jim Mahfood; Jacob Chabot; Mike Deodato Jr.; Ed McGuinness; Katie Cook; Ramón K. Pérez; Arthur Adams		AvX, Scarlet Witch Vs. Hope		- The premiere AVX tie-in comes to a rip-roaring conclusion! - SCARLET WITCH VS. HOPE straight out of AVX #12! - And two fights weren't enough for the last issue, so we packed in as many fights and fan-favorite characters as possible! - Mini fights from the best creators in the business! Jeph Loeb, Arthur Adams, Stuart and Kathryn Immonen, Jason Aaron and many others!	Marvel Comics	AvX vs.	Jeph Loeb; Dan Slott; Kieron Gillen; Jason Aaron; Ed McGuinness; Christopher Hastings; Kathryn Immonen; Brian Michael Bendis	6	75960607800400611
	Mark 'Jock' Simpson	Blue Hell		'BLUE' - Using the knowledge gained from the Black Swan, the Illuminati rework all their plans and cross the uncrossable line. - The first secret alliance is formed. - If an incursion is normally RED, what does a BLUE one mean?	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	6	75960607910000611
		Candor, Part One		Supergirl and Power Girl are traveling the stars, wearing the traditional armors of Nightwing and Flamebird to distract attention away from themselves.  Unfortunately, in this world that uses the image of Kal-El to commit atrocities, they are unable to stay in the shadows for long.	DC Comics	Supergirl, Vol. 5	Greg Rucka	6	76194124904900611
	David Mack	Civil War - Battle Lines, Part 1		Carol Danvers, Simon Williams and Julia Carpenter are working for Tony Stark, rounding up unlicensed heroes.  Julia's attempt to capture the Shroud is surprising for everyone involved, while Carol and Simon have an unusually successful hunt for Arana.	Marvel Comics	Ms. Marvel, Vol. 2	Brian Reed	6	75960605828000611
Ariel Olivetti	Salvador Larroca	Fear Itself, Part 2		Written by NICK SPENCER Art by ARIEL OLIVETTI Cover by SALVADOR LARROCA FEAR ITSELF TIE-IN The evil forces of the Serpent sweep across the Earth?and it's up to War Machine, the Immortal Iron Fist, and the Weapons of the Seven Capital Cities of Heaven to stop two of the strongest before they lay waste to an entire continent! 32 PGS./Rated T+	Marvel Comics	Iron Man 2.0	Nick Spencer	6	75960607068800611
	Greg Land	The Godkiller, Part 1		Tony Stark. In Space. In a bar. With ladies. What could go wrong? - Is Tony guilty of a crime he's not even aware of? - A shocking start to an all-new, all-different direction for IRON MAN.	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	6	75960607909400611
		Industrial Revolution, Part 1: Man on the Street		Written by FRED VAN LENTE Penciled by STEVE KURTH Cover by JUAN DOE The second action-packed story arc begins here! Come back with us to a time when Tony Stark lost his company and his fortune to his greatest enemy, Obadiah Stane. Forced to rebuild a new company from scratch, Tony arrives in a run-down Los Angeles neighborhood and brings the people jobs, hope, and a new beginning -- but unbeknownst to Tony, this district is under the iron thumb of the super-villain lords of L.A. -- THE PRIDE! The Runaways' super-powered parents will do everything they can to destroy this new enterprise, but this is Tony Stark they're messing with here. And he -- and the people he's inspired -- won't give up the streets without a fight!  32 PGS./Rated T+ ?$2.99	Marvel Comics	Iron Man: Legacy	Fred Van Lente	6	75960607106700611
	Adam Kubert	Infinity, Amber		All roads lead to this! The over-sized conclusion of the Marvel Summer event! The heroes of Earth versus the forces of Thanos!	Marvel Comics	Infinity	Jonathan Hickman	6	75960607882000611
		It Begins!			DC Comics	Gen 13, Vol. 4	Gail Simone	6	76194125538500611
	Humberto Ramos	Joking Hazard		The new super villain duo, JESTER & SCREWBALL, are punking heroes across the internet.And now they’ve set their sight on the Superior Spider-Man. (Who is SO not good with that.)	Marvel Comics	Superior Spider-Man	Dan Slott	6	75960607912400611
Valerio Schiti	Greg Land	Need Help?		- The Falcon is on the hunt - and what he finds will rock the Mighty Avengers to their core! - Meanwhile, Luke Cage and Adam Brashear - aka the Blue Marvel - sit down and talk about dead Presidents, old mistakes and family ties. - GUEST STARRING IRON FIST!	Marvel Comics	Mighty Avengers, Vol. 2	Al Ewing	6	75960607959900611
		Powerless, Part 1		? Hydra rises from the ashes! ? What secret has Cap been keeping throughout Fear Itself? ? Alan Davis joins the all-star creative team! 32 PGS./Rated T	Marvel Comics	Captain America, Vol. 6	Ed Brubaker	6	75960607613000611
Daniel Acuña	John Cassaday			Enter The Apocalypse Twins! The beginning of the end begins with their arrival! - Why do they seek to anger The Celestials? What is their connection to Kang? How is Thor responsible for their mighty power?! - A death at the hands of an Avenger divides the team! - Will Sunfire torture an S-Man to save mutant lives?	Marvel Comics	Uncanny Avengers	Rick Remender	7	75960607826400711
Sara Pichelli; Valerio Schiti	Sara Pichelli			- With the mysterious Angela now on the team and the massive effects of Infinity beginning to rise, the galaxy's most mismatched heroes find themselves at a crossroads. - PLUS: All covers feature a special digital variant cover activated by the Marvel AR app.	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	7	75960607830100711
Valerio Schiti				- Years ago, Gideon Mace murdered Ava Ayala's family. - Ava Ayala is the White Tiger. She channels the power of an ancient god of terror and bloodlust. And she just gave it full control. - Pray for Gideon Mace.	Marvel Comics	Mighty Avengers, Vol. 2	Al Ewing	7	75960607959900711
Dustin Weaver	Dustin Weaver	The Last White Event		'WORLD BREAKER' - The Avengers must scramble to deal with the threat of another Universal SYSTEM. - The New Adam is transformed, and his true self revealed. - And the most dangerous hero on Earth is created.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	7	75960607902500711
Mike Deodato Jr.	Mike Deodato Jr.	Thrones		'WHY NOT WAR?' - The cold war between Atlantis and Wakanda heats up. - Who is the secret member of the Illuminati that many of the members do not know about? - How does Black Bolt lie?	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	7	75960607910000711
Brandon Peterson	Brandon Peterson	Age of Ultron, Book Seven		In an attempt to defeat Ultron two Marvel Heroes take it upon themselves to create an all-new Marvel Universe. But is the one they have created better or worse than the one they left behind? The event of the year just got INSANE!!	Marvel Comics	Age of Ultron	Brian Michael Bendis	7	75960607494500711
	Jim Cheung	AvX, Round 7		Cyclops changes the game with these three words: 'No More Avengers!'	Marvel Comics	Avengers vs. X-Men		7	75960607748900711
		Candor, Part Two		The atrocities continue against the innocent, and Kara blames herself.  She comes after Kal-El, little realizing his true origins and goals.	DC Comics	Supergirl, Vol. 5	Greg Rucka; Joe Kelly	7	76194124904900711
Ariel Olivetti; Carmine Di Giandomenico	Ariel Olivetti	Fear Itself, Conclusion		Written by NICK SPENCER Art & Cover by ARIEL OLIVETTI I AM CAPTAIN AMERICA VARIANT BY TBA FEAR ITSELF TIE-IN! China is about to become scorched earth! The monstrous agents of FEAR ITSELF rip across the continent, as War Machine and the Immortal Iron Fist finally live up to their mysterious destiny! And will Marvel's newest hero unite Rhodey and the Immortal Weapons?or tear them apart?! 32 PGS./Rated T+	Marvel Comics	Iron Man 2.0	Nick Spencer	7	75960607068800711
	Greg Land	The Godkiller, Part 2		THE GODKILLER ARC CONTINUES - THE SHI'ARD - race of aliens related to the Shi'ar - accuse Tony Stark of killing their god. - That god was the Phoenix! - Can Tony trust the ancient alien machine that has offered to help him?	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	7	75960607909400711
	Humberto Ramos	Troubled Mind, Part One: Right-Hand Man		'Troubled Mind' Part 1 - An Avenger no more? - With the public at large realizing this is no longer a 'Friendly Neighborhood' Spider-Man, and in light of his actions in recent events, will the Avengers kick Spidey off the team? Plus the return of Cardiac! - And a new development for a Spider-Man who hasn't been seen for some time. And by time, we mean centuries. - The lead up to the Spider-Event of the Summer STARTS HERE!	Marvel Comics	Superior Spider-Man	Dan Slott	7	75960607912400711
Daniel Acuña	John Cassaday			Kang and the The Apocalypse Twins enter the Age of Ultron, but what do they want? - Havok and Rogue, leaders of the Morlocks, must fight to save the man who condemned their people! - What secret will Rogue unearth about the Twins hidden past?	Marvel Comics	Uncanny Avengers	Rick Remender	8	75960607826400811
Valerio Schiti				- Spectrum and She-Hulk join Blue Marvel on one of his global adventures - against a threat that could break Adam's heart! - It's White Tiger versus Tiger God - with Ava Ayala's soul in the balance! - We need to talk about Kevin.	Marvel Comics	Mighty Avengers, Vol. 2	Al Ewing	8	75960607959900811
Adam Kubert		Age of Ultron			Marvel Comics	Uncanny Avengers	Rick Remender; Gerry Duggan	8	75960607895000111
Brandon Peterson	Brandon Peterson	Age of Ultron, Book Eight		With the Marvel Universe turned inside out, who will take responsibility for breaking the world? And is there any way to put it back? Wait until you see who is in charge of the new world order and how they got there! A reality-spanning choice is made this issue that will affect the Marvel Universe for years and years to come.	Marvel Comics	Age of Ultron	Brian Michael Bendis	8	75960607494500811
	Jim Cheung	AvX, Round 8		Last stand in Wakanda as an out-of-control Namor invades this sovereign nation in pursuit of the Avengers! - And a shocking truth stands revealed that may cause fractures in the X-Men's alliance!	Marvel Comics	Avengers vs. X-Men		8	75960607748900811
	David Mack	Civil War, For The Best		Carol, Simon and Anya are sent out on a mission to recover Julia Carpenter.  They do, but in the process, divide Julia and her daughter, which forces Anya to question some of her previously held beliefs.	Marvel Comics	Ms. Marvel, Vol. 2	Brian Reed	8	75960605828000811
Javier Pulido; Sal Buscema		Dark Reflection / There's a New Spider-Girl in Town! / Walking the Talk / Why Not Have Spider-Man Lose Control of His Spider-Sense?		Written by MARC SUMERAK, TOM DEFALCO & ABBY DENSON Penciled by JAVIER PULLIDO, RON FRENZ, ADAM DEKRAKER & MORE! Cover by NUNO PLATI While the machinations of Norman Osborn's DARK REIGN have our favorite heroes on the run, what's life like for the everyday folks of the Marvel Universe?  See how the Amazing Spider-Man changed one man's life - and how this new world order can undo that good in an instant in DARK REFLECTION by Marc Sumerak and Javier Pullido!  Meanwhile, over in THE SPECTACULAR SPIDER-GIRL, May Parker must contend with threats on all fronts - a conspiracy that's rocked the foundation of her high school and friends, and keeping tabs on her new 'cousin,' April Reilly, the former Spider-Girl Clone!  Back in Queens, Aunt May takes one last adventure as The AMAZING SPIDER MA'AM!  And finally, May Porker, the SPECTACULAR SWINEY-GIRL faces down her deadliest threat yet in part two of CRAYFIN'S LAST BUNT! 64 PGS./Rated A ?$4.99	Marvel Comics	Amazing Spider-Man Family	Ron Frenz; Tom Peyer; Marc Sumerak; Tom DeFalco	8	75960606507300811
	John Cassaday	The Extremists, Part 2		The investigation of former friend's reported death leads Cap to an old S.H.I.E.L.D. cloning facility. Cap runs into a clean crew headed by a psychopath named Barricade. Cap gets unexpected help from a dead man.	Marvel Comics	Captain America, Vol. 4	Chuck Austen; John Ney Rieber	8	75960605153300811
	Greg Land	The Godkiller, Conclusion		THE MINDBLOWING CONCLUSION TO THE GODKILLER - Tony Stark, The Godkiller is found guilty! - What horrible punishment will the Shi'ard impose? - The surprising consequences of Iron Man's role in AVX!	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	8	75960607909400811
Francesco Francavilla	Francesco Francavilla	Infinity		INFINITY TIE-IN  - What will it take for Peter Quill to betray the entire Marvel Universe?  - And if you don't know Eisner award winning artist Francesco Francavilla yet, you will after this comic!	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	8	75960607830100811
Ariel Olivetti; Jorge Pereira Lucas	Salvador Larroca	The Palmer Addley Infection, Part 1		Written by NICK SPENCER Art by ARIEL OLIVETTI Cover by SALVADOR LARROCA New arc! Yet another perfect chance to jump on! War Machine has just met the greatest enemy he's never faced - a nemesis who's already dead! When War Machine's weaponry fails him against a super villain he can't tackle?head-on, Rhodey must use his brains - and his all-new, bleeding-edge armor - to fight a NEW battle?21st-century style! 32 PGS./Rated T+ ?$2.99	Marvel Comics	Iron Man 2.0	Nick Spencer	8	75960607068800811
Mike Deodato Jr.	Mike Deodato Jr.	Prelude to Infinity, What Maximus Made		'LORDS OF CHAOS' - As casualties pile up in the ongoing war between Wakanda and Atlantis, an Illuminati member is forced to make a hard choice. - An Inhuman learns of the Illuminati's plans. - Prelude to INFINITY: Everything falls apart.	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	8	75960607910000811
Dustin Weaver	Dustin Weaver	Starbranded		'SYSTEM FAILURE' - The Avengers face off against the World Breaker. - Discover the imminent threat to the Avengers World. - Watch as we get our first hints as the hidden connections between the events of Avengers and New Avengers.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	8	75960607902500811
	Humberto Ramos	Troubled Mind, Part Two: Proof Positive		'Troubled Mind' Part 2 - Peter Parker takes a stand! - With a villain acting like a hero and a hero acting like a villain, one man has decided that enough is enough! - More with Cardiac! More surprises! And a moment that will break a lot of hearts! - To save the life of one of Spider-Man's enemies, Peter Parker fights to regain control of his body, his mind, and his destiny! - Is this the beginning of the end for Otto Octavius?	Marvel Comics	Superior Spider-Man	Dan Slott	8	75960607912400811
		Warpath, Part Three			Devil's Due Publishing	Voltron: Defender of the Universe, Vol. 2	Dan Jolley	8	88214200007600801
				- The Blue Marvel faces a nightmare from the depths of the Neutral Zone - and the depths of his past! - Meanwhile, Ronin can't hide from the Deathwalkers any longer... - ...or from the readers! This ish - the mask comes off!	Marvel Comics	Mighty Avengers, Vol. 2	Al Ewing	9	75960607959900911
Dustin Weaver; Mike Deodato Jr.	Dustin Weaver	Star Bound		'NEW UNIVERSE' - Watch as the most dangerous weapon in the Universe is unleashed. - Two Universal SYSTEMS collide. - What good is a White Event if only leads to the destruction of the planet it was meant to transform?	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	9	75960607902500911
Brandon Peterson	Carlos Pacheco	Age of Ultron, Book Nine		To save the planet Earth - and maybe the entire galaxy! - the heroes of the Marvel Universe made the most controversial decision of their lives. The results have brought disaster the likes of which they have never seen before. And now, with one final chancecan they make it right?	Marvel Comics	Age of Ultron	Brian Michael Bendis	9	75960607494500911
Daniel Acuña	John Cassaday	The Apocalypse Twins, Part Four		Ragnarök Now continues! - A team divided. The Apocalypse Twins triumphant. - Wolverine discovers The Midnight City and soon wishes he hadn't. - The Horsemen of Death shatter the Avengers body and soul!	Marvel Comics	Uncanny Avengers	Rick Remender	9	75960607826400911
		Big Girl Small World		After her adventure in Kandor with Power Girl, Supergirl is trying to figure out her own way in the world. She's uncomfortable dwelling in the shadow of Superman, and trying to find ways in which to distinguish herself, and rebel a little as she spends an evening on the town with Owen Mercer, the new Captain Boomerang.	DC Comics	Supergirl, Vol. 5	Joe Kelly	9	76194124904900911
		Doppelganger			Marvel Comics	Ms. Marvel, Vol. 2	Brian Reed	9	75960605828000911
Francesco Francavilla	Francesco Francavilla	Infinity		INFINITY TIE-IN - The Infinity adventure continues as Thanos's rise might lead to the Guardians' fall.	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	9	75960607830100911
Mike Deodato Jr.	Mike Deodato Jr.	Infinity, The Cull Obsidian		'CULL OBSIDIAN' - The Illuminati on the front line as the Earth is invaded. - The House of Black Bolt cracks. - Earth falls.	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	9	75960607910000911
Ariel Olivetti	Salvador Larroca	The Palmer Addley Infection, Part 2		Written by NICK SPENCER Art by ARIEL OLIVETTI Cover by SALVADOR LARROCA War Machine has made an enemy for the ages - and the explosive Palmer Addley mystery races toward deadly consequences! The villain's secrets are revealed?but does this give Rhodey the key to defeating him, or make it all the more impossible? By Nick Spencer (SECRET AVENGERS) and Ariel Olivetti (CABLE)!	Marvel Comics	Iron Man 2.0	Joshua Hale Fialkov; Nick Spencer	9	75960607068800911
Dale Eaglesham		The Secret Origin of Tony Stark, Prologue		THE SECRET ORIGIN OF TONY STARK - Death's Head and Iron Man team-up to hunt down a genocidal criminal. Not the problem. - A shipful of dead badoon. Not the problem. - What Tony finds in the depths of that ship: the problem. Big problem. - The lead into the biggest Tony Stark story of the year.	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	9	75960607909400911
Ryan Stegman	Marcos Martin	Troubled Mind, Part Three: Gray Matters		IT ENDS HERE! 'SUPERIOR NO MORE!' - The hottest comic in comics comes to a turning point that will get you angrier than you were after Spidey #700! - The time has come to see who will live, who will die, and who will emerge as the one, true Superior Spider-Man!	Marvel Comics	Superior Spider-Man	Dan Slott	9	75960607912400911
		Warpath, Part Four			Devil's Due Publishing	Voltron: Defender of the Universe, Vol. 2	Dan Jolley	9	88214200030400901
Daniel Acuña	John Cassaday			Ragnarök Now continues! THE FOUR HORSEMEN OF DEATH are unleashed!	Marvel Comics	Uncanny Avengers	Rick Remender	10	75960607826401011
Kevin Maguire	Kevin Maguire			Angela and Gamora go hunting. Special guest artist Kevin Maguire (Justice League, Batman Confidential, X-Men)	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	10	75960607830101011
Mike Deodato Jr.	Dustin Weaver	Validator		'VALIDATOR' - We learn that the Canadian super team Omega Flight got lost in a Garden Origin Site. - Discover what happens when the Avengers go in to rescue them. - Learn why ADAPTATION is the scariest word in the Marvel Universe.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	10	75960607902501011
André Lima Araújo	Sara Pichelli	Age of Ultron		- One of Marvel's most classic characters, Hank Pym, stands at the crossroads! - Faced with a dilemma only he can solve, Pym gambles his past and his future! - Some men are beyond redemption! By story's end, Hank Pym will have an entirely new role in the Marvel Universe!	Marvel Comics	Age of Ultron	Mark Waid	10	75960607884400111
Alex Maleev; Brandon Peterson; Joe Quesada; Jackson 'Butch' Guice; David Marquez	Brandon Peterson	Age of Ultron, Book Ten		THE FINALE! The biggest secret in comics will be revealed to you! An ending so confidentialeven the artists of this book don't know what lies on the final pages! A surprise so big that comic book legend Joe Quesada himself returns to the pages of Marvel Comics to draw a sequence that people will be talking about for years. *All covers of Age Of Ultron #10 will be polybagged	Marvel Comics	Age of Ultron	Brian Michael Bendis	10	75960607494501011
Alex Maleev; Brandon Peterson; Joe Quesada; Jackson 'Butch' Guice; David Marquez	Brandon Peterson	Age of Ultron, Book Ten		THE FINALE! The biggest secret in comics will be revealed to you! An ending so confidentialeven the artists of this book don't know what lies on the final pages! A surprise so big that comic book legend Joe Quesada himself returns to the pages of Marvel Comics to draw a sequence that people will be talking about for years. *All covers of Age Of Ultron #10 will be polybagged	Marvel Comics	Age of Ultron	Brian Michael Bendis	10	75960607494501011
	Marcos Martin	Independence Day		IT BEGINS HERE!! - A perfect jumping on point as The Green Goblin returnsand Spider-Man is nowhere to be found!	Marvel Comics	Superior Spider-Man	Dan Slott	10	75960607912401011
Mike Deodato Jr.	Mike Deodato Jr.	Infinity, The Thanos Seed		- Inhuman secrets reveal the desires of Thanos. - The machinations of Maximus the Mad. - The battle for Earth continueswhat an awful time for an incursion.	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	10	75960607910001011
Ariel Olivetti	Salvador Larroca	The Palmer Addley Infection, Part 3		Written by NICK SPENCER Art by ARIEL OLIVETTI Cover by SALVADOR LARROCA War Machine's battle against his greatest enemy enters its endgame! Uncontrollable waves of high-tech terror attacks push nations around the world to the brink of global conflict. Palmer Addley's secrets have been all but cracked. But with the doomsday clock ticking, how does Rhodey stop a villain who is everywhere and nowhere? 32 PGS./Rated T+	Marvel Comics	Iron Man 2.0	Will Pfeifer; Nick Spencer	10	75960607068801011
		Secret Identities			DC Comics	Supergirl, Vol. 5	Joe Kelly	10	76194124904901011
Dale Eaglesham	Greg Land	The Secret Origin of Tony Stark, Part One		- Many years ago, Howard and Maria Stark had a baby. There's something you don't know. - Learn the truth about Las Vegas and Area 51 as the two great myths of Nevada collide. - Meanwhile, in a distant galaxy, Tony Stark screams! - The story that will shake Iron Man to his very core starts here!!!	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	10	75960607909401011
		Warpath, Conclusion			Devil's Due Publishing	Voltron: Defender of the Universe, Vol. 2	Dan Jolley	10	88214200044101001
					Devil's Due Publishing	Voltron: Defender of the Universe, Vol. 2	Marie Croall	11	88214200001401101
Daniel Acuña	John Cassaday			Ragnarök Now continues! - The dawn of the Celestial Executioner. - The death of all hope. - The rebirth of a fallen son.	Marvel Comics	Uncanny Avengers	Rick Remender	11	75960607826401111
Mike Deodato Jr.	Dustin Weaver	Wake the Dragon		'WAKE THE DRAGON' - As Shang-Chi battles an ancient enemy, the Avengers hang out in Hong Kong's swankiest casino. - Captain Marvel, Black Widow and Spider-Woman find out it doesn't pay to gamble in the spy business. - Cannonball and Sunspot play craps with a bunch of AIM Agents. AND WIN!	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman	11	75960607902501111
	Travel Foreman	Doomsday			Marvel Comics	Ms. Marvel, Vol. 2	Brian Reed	11	75960605828001111
		Fish Out of Water			DC Comics	Supergirl, Vol. 5	Joe Kelly	11	76194124904901111
Mike Deodato Jr.	Mike Deodato Jr.	Infinity, Builders		INFINITY TIE-IN - 'BUILDING WORLDS'  - The Illuminati travel to another Earth during an incursion.  - Thanos in Necropolis.  - The Builders on Earth.	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	11	75960607910001111
	Giuseppe Camuncoli	No Escape, Part One: A Lock for Every Key		The Spider-Slayer is scheduled for execution and Mayor J. Jonah Jameson is leaving nothing to chance. To ensure that everything goes according to plan, Jameson's called in the one man he can trust to oversee everything-the Superior Spider-Man. Since the startling events of Superior Spider-Man #9, will anyone realize that things have changed...?	Marvel Comics	Superior Spider-Man		11	75960607912401111
Dale Eaglesham; Greg Land	Greg Land	The Secret Origin of Tony Stark, Part Two		'THE SECRET ORIGIN OF TONY STARK' CONTINUES! - The Price. - The Deal. - The Consequences.	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	11	75960607909401111
Sara Pichelli	Sara Pichelli	The Trial of Jean Grey, Part 2		'The Trial of Jean Grey' The Guardians of the Galaxy get a reminder of Earth when they cross paths with the All-New X-Men during the TRIAL OF JEAN GREY! When an alien race discovers that the original Jean Grey is back on Earth, they decide to hold her accountable for the acts of the Dark Phoenix, and it's up to the Guardians to help the X-Men save her. You won't want to miss the first encounter between two of the biggest franchises in the Marvel U!	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	11	75960607830101111
Salvador Larroca	John Cassaday			- The dark origin of the Apocalypse Twins! - Kang's true motives revealed. - A secret of pact between Ahab and The Red Skull that will bring horror to all mutants. - Bring on the bad guys!	Marvel Comics	Uncanny Avengers	Rick Remender	12	75960607826401211
Mike Deodato Jr.	Dustin Weaver	Evolve		'CHILDREN OF THE SUN' - A day in the life of the Avengersin the Savage Land. - The boys go hunting for dinosaurs and end up catching something else entirely. - Hyperion and Captain Universe begin the godlike education of the transformed Savage Land children.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman; Nick Spencer	12	75960607902501211
		AvX, Round 12		Extra-sized final issue! - It's all come down to this! The final battle-as the world burns!	Marvel Comics	Avengers vs. X-Men		12	75960607748901211
Mike Deodato Jr.	Mike Deodato Jr.	Infinity, Epilogue		INFINITY TIE-IN - 'THE WORLD WE HAVE' - The House of Black Bolt crumbles. - New friends, new enemies.	Marvel Comics	New Avengers, Vol. 3	Jonathan Hickman	12	75960607910001211
	Giuseppe Cammuncoli	No Escape, Part Two: Lockdown		'No Escape' Part 2 of 3 - The Raft is complete shutdown. Which means that Spider-Man, Jonah, Glory, and Norah are trapped inside with practically ALL the villains that the Superior Spider-Man has brutalized over the past 12 issues! - It's time for a little payback for the Spider-Slayer, Scorpion, Boomerang, and the Vulture!	Marvel Comics	Superior Spider-Man		12	75960607912401211
Dale Eaglesham	Greg Land	The Secret Origin of Tony Stark, Part Three		'THE SECRET ORIGIN OF TONY STARK' CONTINUES! - The Birth. - 451's ulterior motive proves to be a big one. In a very literal sense.	Marvel Comics	Iron Man, Vol. 5	Kieron Gillen	12	75960607909401211
	Greg Horn	Something Dark is Coming			Marvel Comics	Ms. Marvel, Vol. 2	Brian Reed	12	75960605828001211
		Spoils of War!		Iron Man heads into action against the new War Machine, but he's barely surviving.  He pulls through with a heavy assist from Warbird, but the two don't work together as effectively as he'd hoped.  Things get even worse when he learns why he's not healing as quickly as he should be.	Marvel Comics	Iron Man, Vol. 3	Kurt Busiek	12	75960604457301211
Sara Pichelli	Sara Pichelli	The Trial of Jean Grey, Part 4		'THE TRIAL OF JEAN GREY' PART 4! - A surprise ally from one character's past comes to help, but is that enough against the most powerful army in the Universe?	Marvel Comics	Guardians of the Galaxy, Vol. 3	Brian Michael Bendis	12	75960607830101211
Daniel Acuña	John Cassaday			Ragnarök is now !  - Against his masters' orders a deranged and vengeful Sentry kills an Uncanny Avenger! No hoax, no dream and only the first casualty of many!  - To allow reinforcements from other eras The Wasp must find and destroy the Twins Tachyon transmitter, but first she'll have to defeat The Grim Reaper.  - Scarlet Witch makes an impossible choice that will define her forever.  - Sunfire and Rogue, alone without back up, must defeat the combined might of both Apocalypse Twins or watch the end of our world!	Marvel Comics	Uncanny Avengers	Rick Remender	13	75960607826401311
Mike Deodato Jr.	Leinil Francis Yu	Strong		'EVOLUTIONARY LEAP' - The High Evolutionary stakes his claim on the Children of the Sun. - Hyperion learns the true cost of the decisions he's made at the Origin Site in the Savage Land. - The Return of techno-titan Terminus.	Marvel Comics	Avengers, Vol. 5	Jonathan Hickman; Nick Spencer	13	75960607902501311
	Adi Granov	Civil War, Civil War		Tony Stark is in something of a funk, trying to sort out the best way through the Civil War.  His friends offer moral support, but when the Spymaster attacks Happy Hogan, things do not end well.	Marvel Comics	Iron Man, Vol. 4	Daniel Knauf; Charles Knauf	13	75960605653801311
